Timestamp,Type,Severity,Message
2026-01-26 14:02:09,ALERT,HIGH,Camera blackout detected for 15s
2026-01-26 14:02:09,ALERT,HIGH,Camera blackout detected for 15s
2026-01-26 14:02:09,ALERT,HIGH,Camera blackout detected for 15s
2026-01-26 14:02:09,ALERT,HIGH,Camera blackout detected for 15s
2026-01-26 14:02:09,ALERT,HIGH,Camera blackout detected for 15s
2026-01-26 14:02:09,ALERT,HIGH,Camera blackout detected for 15s
2026-01-26 14:02:09,ALERT,HIGH,Camera blackout detected for 15s
2026-01-26 14:02:09,ALERT,HIGH,Camera blackout detected for 15s
2026-01-26 14:02:09,ALERT,HIGH,Camera blackout detected for 15s
2026-01-26 14:02:10,ALERT,HIGH,Camera blackout detected for 16s
2026-01-26 14:02:10,ALERT,HIGH,Camera blackout detected for 16s
2026-01-26 14:02:10,ALERT,HIGH,Camera blackout detected for 16s
2026-01-26 14:02:10,ALERT,HIGH,Camera blackout detected for 16s
2026-01-26 14:02:10,ALERT,HIGH,Camera blackout detected for 16s
2026-01-26 14:02:10,ALERT,HIGH,Camera blackout detected for 16s
2026-01-26 14:02:10,ALERT,HIGH,Camera blackout detected for 16s
2026-01-26 14:02:10,ALERT,HIGH,Camera blackout detected for 16s
2026-01-26 14:02:11,ALERT,HIGH,Camera blackout detected for 17s
2026-01-26 14:02:11,ALERT,HIGH,Camera blackout detected for 17s
2026-01-26 14:02:11,ALERT,HIGH,Camera blackout detected for 17s
2026-01-26 14:02:11,ALERT,HIGH,Camera blackout detected for 17s
2026-01-26 14:02:11,ALERT,HIGH,Camera blackout detected for 17s
2026-01-26 14:02:11,ALERT,HIGH,Camera blackout detected for 17s
2026-01-26 14:02:11,ALERT,HIGH,Camera blackout detected for 17s
2026-01-26 14:02:11,ALERT,HIGH,Camera blackout detected for 17s
2026-01-26 14:02:12,ALERT,HIGH,Camera blackout detected for 18s
2026-01-26 14:02:12,ALERT,HIGH,Camera blackout detected for 18s
2026-01-26 14:02:12,ALERT,HIGH,Camera blackout detected for 18s
2026-01-26 14:02:12,ALERT,HIGH,Camera blackout detected for 18s
